Accident_ID,Date,Time,City,State,Accident_Severity,Weather_Condition,Road_Condition,Vehicle_Type,Vehicles_Involved,Injuries,Fatalities,Accident_Cause
TA1001,1/26/2023,9:23,Mumbai,Maharashtra,Minor,Cloudy,Dry,Van,1,6,0,Speeding
TA1002,4/6/2023,7:27,Hyderabad,Telangana,Minor,Overcast,Dry,Truck,2,8,0,Overtaking
TA1003,4/4/2024,20:06,Ahmedabad,Gujarat,Minor,Clear,Wet,Van,4,5,0,Poor Road Condition
TA1004,8/9/2023,11:29,Delhi,Delhi,Minor,Fog,Dry,Auto Rickshaw,3,4,0,Drunk Driving
TA1005,4/15/2024,18:18,Bengaluru,Karnataka,Minor,Fog,Dry,Truck,3,5,0,Signal Violation
TA1006,12/22/2024,2:22,Kolkata,West Bengal,Minor,Cloudy,Poor,Car,2,1,0,Overtaking
TA1007,4/9/2024,21:41,Jaipur,Rajasthan,Severe,Cloudy,Poor,Auto Rickshaw,2,4,0,Weather
TA1008,9/15/2024,21:40,Chennai,Tamil Nadu,Minor,Cloudy,Wet,Bus,4,4,0,Weather
TA1009,8/13/2023,23:22,Patna,Bihar,Minor,Clear,Wet,SUV,1,5,0,Overtaking
TA1010,3/9/2023,7:12,Jaipur,Rajasthan,Severe,Overcast,Poor,Motorcycle,4,6,0,Weather
TA1011,5/27/2023,9:02,Visakhapatnam,Andhra Pradesh,Minor,Overcast,Under Construction,Auto Rickshaw,4,6,0,Poor Road Condition
TA1012,5/22/2023,17:23,Ahmedabad,Gujarat,Moderate,Clear,Dry,Motorcycle,2,6,0,Signal Violation
TA1013,1/30/2024,13:01,Chennai,Tamil Nadu,Moderate,Fog,Under Construction,Auto Rickshaw,1,1,0,Weather
TA1014,10/1/2023,21:52,Patna,Bihar,Minor,Rain,Potholes,Motorcycle,4,0,0,Weather
TA1015,5/27/2024,6:05,Jaipur,Rajasthan,Moderate,Clear,Poor,SUV,2,2,0,Poor Road Condition
TA1016,7/6/2024,18:06,Pune,Maharashtra,Severe,Overcast,Poor,Bus,1,1,0,Poor Road Condition
TA1017,9/3/2023,1:58,Lucknow,Uttar Pradesh,Minor,Overcast,Dry,Car,4,1,0,Drunk Driving
TA1018,5/9/2023,4:22,Patna,Bihar,Moderate,Overcast,Wet,Auto Rickshaw,4,3,0,Signal Violation
TA1019,11/16/2023,13:37,Kolkata,West Bengal,Fatal,Rain,Potholes,Truck,4,1,0,Distracted Driving
TA1020,12/13/2023,0:43,Chennai,Tamil Nadu,Moderate,Cloudy,Under Construction,Motorcycle,1,1,0,Weather
TA1021,8/23/2023,2:18,Bengaluru,Karnataka,Severe,Rain,Dry,Truck,2,4,0,Weather
TA1022,8/8/2023,18:24,Coimbatore,Tamil Nadu,Minor,Overcast,Under Construction,Bus,2,7,0,Drunk Driving
TA1023,7/14/2023,3:13,Bhopal,Madhya Pradesh,Minor,Fog,Poor,Bus,4,7,0,Drunk Driving
TA1024,11/20/2024,22:18,Bengaluru,Karnataka,Fatal,Clear,Dry,Bus,3,1,0,Distracted Driving
TA1025,7/3/2024,15:18,Kolkata,West Bengal,Minor,Cloudy,Poor,Bus,2,1,0,Overtaking
TA1026,4/11/2023,1:43,Patna,Bihar,Moderate,Overcast,Dry,Car,2,2,0,Overtaking
TA1027,5/7/2024,7:17,Coimbatore,Tamil Nadu,Severe,Clear,Wet,Bus,1,6,0,Poor Road Condition
TA1028,10/20/2023,14:26,Visakhapatnam,Andhra Pradesh,Moderate,Overcast,Potholes,Motorcycle,2,4,0,Distracted Driving
TA1029,8/16/2024,18:30,Bengaluru,Karnataka,Minor,Rain,Dry,Car,4,8,0,Drunk Driving
TA1030,6/11/2023,1:56,Kochi,Kerala,Fatal,Clear,Wet,Car,1,3,1,Speeding
TA1031,9/10/2023,19:45,Bhubaneswar,Odisha,Moderate,Overcast,Dry,Bus,3,4,0,Distracted Driving
TA1032,9/2/2023,9:03,Surat,Gujarat,Minor,Rain,Potholes,Auto Rickshaw,1,0,0,Overtaking
TA1033,7/30/2024,3:24,Chandigarh,Chandigarh,Minor,Cloudy,Under Construction,Auto Rickshaw,2,5,0,Speeding
TA1034,1/14/2024,9:43,Ahmedabad,Gujarat,Minor,Overcast,Poor,Truck,1,8,0,Poor Road Condition
TA1035,5/18/2023,9:01,Mumbai,Maharashtra,Minor,Clear,Under Construction,Motorcycle,3,4,0,Signal Violation
TA1036,12/18/2023,6:56,Kolkata,West Bengal,Moderate,Rain,Under Construction,Bus,3,0,0,Speeding
TA1037,10/11/2023,1:30,Bhopal,Madhya Pradesh,Minor,Cloudy,Poor,Motorcycle,4,8,0,Weather
TA1038,7/28/2024,0:19,Bhopal,Madhya Pradesh,Minor,Cloudy,Under Construction,Car,3,8,0,Distracted Driving
TA1039,5/11/2023,1:25,Bhopal,Madhya Pradesh,Minor,Clear,Poor,Motorcycle,2,1,0,Poor Road Condition
TA1040,2/21/2024,21:11,Patna,Bihar,Moderate,Cloudy,Wet,SUV,2,6,0,Speeding
TA1041,12/7/2023,14:03,Pune,Maharashtra,Severe,Cloudy,Poor,Motorcycle,1,6,0,Drunk Driving
TA1042,4/26/2024,7:35,Bengaluru,Karnataka,Minor,Fog,Poor,Auto Rickshaw,2,3,0,Speeding
TA1043,2/13/2024,11:12,Kolkata,West Bengal,Minor,Clear,Poor,Auto Rickshaw,4,8,0,Poor Road Condition
TA1044,4/29/2023,8:54,Hyderabad,Telangana,Minor,Rain,Dry,Car,4,5,0,Weather
TA1045,3/22/2024,20:41,Surat,Gujarat,Fatal,Clear,Potholes,Truck,2,4,0,Weather
TA1046,1/2/2023,17:44,Bhopal,Madhya Pradesh,Severe,Overcast,Wet,Auto Rickshaw,4,1,0,Weather
TA1047,9/30/2024,10:42,Surat,Gujarat,Moderate,Clear,Poor,Truck,3,6,0,Poor Road Condition
TA1048,12/14/2024,10:05,Indore,Madhya Pradesh,Moderate,Cloudy,Potholes,Van,4,2,0,Signal Violation
TA1049,11/5/2023,13:51,Bhubaneswar,Odisha,Moderate,Clear,Poor,Auto Rickshaw,2,6,0,Drunk Driving
TA1050,9/13/2024,22:20,Bhubaneswar,Odisha,Minor,Fog,Potholes,Van,2,8,0,Overtaking
TA1051,11/5/2024,2:53,Pune,Maharashtra,Minor,Overcast,Poor,Car,2,4,0,Distracted Driving
TA1052,5/31/2023,0:50,Kolkata,West Bengal,Minor,Fog,Under Construction,SUV,1,7,0,Overtaking
TA1053,7/19/2023,23:46,Bhubaneswar,Odisha,Minor,Fog,Wet,Motorcycle,1,1,0,Drunk Driving
TA1054,8/13/2023,6:00,Bhopal,Madhya Pradesh,Severe,Overcast,Potholes,Car,2,1,0,Overtaking
TA1055,4/20/2024,22:47,Delhi,Delhi,Moderate,Overcast,Under Construction,Auto Rickshaw,4,8,0,Overtaking
TA1056,4/1/2024,5:25,Patna,Bihar,Moderate,Fog,Potholes,Auto Rickshaw,2,4,0,Drunk Driving
TA1057,5/11/2024,21:23,Kochi,Kerala,Minor,Fog,Dry,Van,3,3,0,Poor Road Condition
TA1058,11/24/2023,18:26,Surat,Gujarat,Minor,Cloudy,Wet,Bus,2,3,0,Speeding
TA1059,2/22/2024,11:17,Bhopal,Madhya Pradesh,Moderate,Fog,Dry,Motorcycle,4,6,0,Drunk Driving
TA1060,12/13/2024,0:40,Bhubaneswar,Odisha,Severe,Overcast,Potholes,Bus,1,5,0,Poor Road Condition
